TestCaseID,RequirementID,RequirementText,SourceFormat,GeneratedTestCase,ExpectedResult,TestType,ComplianceStandard,IntegratedTool,Status
TC022,REQ-PD-06,The system must provide an option for a patient to request the deletion of their data (Right to be Forgotten).,Word,Log in as a patient and navigate to account settings. Use the 'Delete My Account' feature.,"The system prompts the user to confirm deletion. Upon confirmation, the patient's personally identifiable information is erased or anonymized.",Compliance,GDPR,Polarion,Auto-Generated
TC023,REQ-EHR-13,Clinicians must be able to electronically sign patient notes.,XML,"Open a patient's chart, add a new progress note, and click the 'Sign' button. Enter credentials.",The note becomes read-only and displays a digital signature with the clinician's name and timestamp.,Functional,FDA 21 CFR Part 11,Jira,Needs Review
TC024,REQ-UI-04,The user interface must be responsive and functional on tablet devices (iPad screen resolution).,Markup,"Open the application on an iPad or a browser emulating one. Navigate through patient search, viewing records, and adding notes.",All UI elements are visible and usable without horizontal scrolling. Buttons and links are easily tappable.,Functional,N/A,Azure DevOps,Approved
TC025,REQ-DATA-09,The system must correctly parse and display patient allergy information from a CCDA file.,XML,Import a CCDA file containing a list of patient allergies.,The patient's profile is updated to display the correct list of allergies from the imported file.,Functional,N/A,Polarion,Auto-Generated
TC026,REQ-DEV-03,All third-party libraries used in the software must be scanned for known vulnerabilities.,PDF,Review the CI/CD pipeline configuration.,"The pipeline includes a mandatory step that uses a security scanner (e.g., Snyk, OWASP ZAP) on all dependencies.",Compliance,IEC 62304,Jira,Approved
TC027,REQ-REP-02,The system must generate a medication administration record (MAR) for a 24-hour period.,Word,Select a patient and a 24-hour date range. Generate the MAR.,A report is generated listing all scheduled and administered medications for the patient within that timeframe.,Functional,ISO 9001,Azure DevOps,Auto-Generated
TC028,REQ-SEC-05,The API endpoints must be protected against SQL injection attacks.,PDF,"Use a security tool to send a request to the patient search API with a malicious SQL payload (e.g., ' ' OR '1'='1').",The API returns a '400 Bad Request' or similar error and does not return any patient data.,Security,ISO 27001,Jira,Approved
TC029,REQ-PHR-08,Patients must be able to securely message their care provider through the portal.,Markup,"Log in as a patient, compose a message to their provider, and send it. Log in as the provider.",The message appears in the provider's inbox. The provider can read and reply to the message.,Functional,GDPR,Polarion,Needs Review
TC030,REQ-ISO-02,There must be a documented procedure for handling customer complaints.,PDF,Search the quality management system documentation for a 'Complaint Handling Procedure'.,"A formal document outlining the process for logging, investigating, and resolving customer complaints is found.",Compliance,ISO 13485,Azure DevOps,Auto-Generated
TC031,REQ-INT-10,The system must be able to query a third-party drug database via API to check for interactions.,XML,"Prescribe two interacting medications (e.g., Warfarin and Aspirin) for the same patient.",The system displays a prominent warning about the potential drug-drug interaction.,Functional,N/A,Jira,Approved
TC032,REQ-ALERT-04,A non-critical notification should be sent if a patient's BMI is calculated to be over 30.,Word,Update a patient's height and weight such that their BMI is 31.,A notification appears in the clinician's message center about the patient's obesity status.,Functional,N/A,Azure DevOps,Approved
TC033,REQ-POC-02,The PoC must demonstrate scalability by handling 100 concurrent users.,Markup,Use a load testing tool to simulate 100 users concurrently logging in and viewing patient data.,The system's average response time remains below 3 seconds throughout the test.,Performance,N/A,Jira,Needs Review
TC034,REQ-HS-03,User roles must be enforced; a nurse should not be able to access billing information.,PDF,Log in with a nurse account and attempt to navigate to the billing section of the application.,The system denies access to the billing section with an 'Access Denied' message.,Security,ISO 27001,Polarion,Approved
TC035,REQ-PD-07,"Any data exported from the system must be in an encrypted, password-protected format.",Word,Use the data export feature to export a patient's record.,"The system generates an encrypted ZIP file and provides a separate, secure method for retrieving the password.",Security,GDPR,Jira,Auto-Generated
TC036,REQ-EHR-14,The system must be able to record and display a patient's vital signs over time.,XML,"Enter three sets of vital signs (BP, HR, Temp) for a patient at different times. View the vitals chart.",The chart correctly displays a graph showing the trend of each vital sign over time.,Functional,N/A,Azure DevOps,Approved
TC037,REQ-UI-05,"Error messages displayed to the user must be clear and understandable, without exposing system internals.",Markup,Attempt to save a form with a required field left blank.,An error message 'Please fill out all required fields' is displayed next to the blank field. No stack traces or database errors are shown.,Functional,N/A,Jira,Approved
TC038,REQ-DATA-10,The system must be able to ingest and store PDF documents in a patient's record.,XML,Select a patient record and use the 'Upload Document' feature to add a PDF file.,The PDF is successfully uploaded and can be viewed or downloaded from the patient's document list.,Functional,N/A,Polarion,Needs Review
TC039,REQ-DEV-04,A static code analysis tool must be integrated into the development pipeline to check for coding standard violations.,PDF,"Commit code that contains a clear violation of the established coding standard (e.g., a hardcoded secret).","The CI pipeline fails at the static analysis step, preventing the code from being merged.",Compliance,IEC 62304,Azure DevOps,Auto-Generated
TC040,REQ-REP-03,The system needs to generate a list of patients who have not had a check-up in over a year.,Word,Run the 'Overdue Patients' report with today's date.,The report generates a list that correctly includes all patients whose last visit date is more than 365 days ago.,Functional,ISO 9001,Jira,Approved
TC041,REQ-SEC-06,The application must prevent Cross-Site Scripting (XSS) by sanitizing user inputs.,PDF,"In a patient notes field, enter the script tag: <script>alert('XSS')</script> and save.","When the note is viewed, the script tag is displayed as plain text and the alert box does not appear.",Security,ISO 27001,Polarion,Approved
TC042,REQ-PHR-09,"The patient portal must allow patients to update their own contact information (address, phone number).",Markup,"Log in as a patient, change their phone number in the profile section, and save.","The patient's record is updated with the new phone number, and this change is reflected in the main EHR system.",Functional,N/A,Azure DevOps,Needs Review
TC043,REQ-ISO-03,A process for design review must be established and followed.,PDF,Examine the project records for a recent feature.,"Records show that design review meetings were held, minutes were taken, and action items were tracked to completion.",Compliance,ISO 13485,Jira,Auto-Generated
TC044,REQ-INT-11,The system's calendar must sync with an external scheduling system like Acuity.,XML,Create a new patient appointment in the external system.,The new appointment appears on the physician's calendar inside the main application within 5 minutes.,Functional,N/A,Polarion,Approved
TC045,REQ-ALERT-05,"If a prescribed medication is not available in the pharmacy inventory, the system must notify the prescriber.",Word,Prescribe a medication that is marked as 'out of stock' in the inventory database.,The prescribing clinician receives an immediate notification that the medication is unavailable.,Functional,N/A,Jira,Auto-Generated
TC046,REQ-POC-03,The PoC infrastructure must be deployable via an automated script (Infrastructure as Code).,Markup,Run the provided Terraform or CloudFormation script.,"The script successfully deploys all necessary resources (Firebase, BigQuery, server instances) without manual intervention.",Compliance,N/A,Azure DevOps,Approved
TC047,REQ-HS-04,"Upon 5 failed login attempts, the user account must be locked for 30 minutes.",PDF,Enter an incorrect password for a valid user account 5 times in a row. Immediately attempt to log in with the correct password.,"The system displays an 'Account Locked' message and prevents login, even with the correct credentials.",Security,ISO 27001,Jira,Approved
TC048,REQ-PD-08,Data access must be role-based; a researcher should only see anonymized data.,Word,Log in as a user with the 'Researcher' role and access the patient database.,"All personally identifiable information (Name, Address, SSN) is masked or removed from the researcher's view.",Security,GDPR,Polarion,Needs Review
TC049,REQ-EHR-15,The system must correctly calculate and display a patient's age based on their Date of Birth.,XML,Create a new patient with a Date of Birth exactly 30 years ago from today.,The patient's profile correctly displays their age as '30'.,Functional,N/A,Jira,Approved
TC050,REQ-UI-06,"The system must support accessibility standards (WCAG 2.1 AA), including keyboard navigation.",Markup,"Navigate through the entire application using only the Tab, Enter, and Arrow keys.","All interactive elements (buttons, links, form fields) can be reached and activated via the keyboard.",Compliance,N/A,Azure DevOps,Auto-Generated
TC051,REQ-SEC-012,Verify that user passwords stored in the database are encrypted using bcrypt.,"The 'password' field in the database should contain a bcrypt hash, indicated by a string starting with '$2a$', '$2b$', '$2y$', or '$2$' with a length appropriate for bcrypt hashes.",Security,N/A,Azure DevOps,Auto-Generated,Text Input
TC052,REQ-HS-12,Search for a patient in the system when the database contains 1 million patient records.,Patient search results are displayed within 3 seconds.,Performance,N/A,Azure DevOps,Auto-Generated,Text Input
TC053,REQ-HS-12,Initiate password reset for a user and verify a password reset link is sent to their registered email address. Click the link and successfully reset the password.,A password reset email is sent to the user's registered email address. Clicking the link in the email redirects the user to a password reset form. The user can successfully update their password and log in with the new password.,Functional,N/A,Azure DevOps,Auto-Generated,Text Input
